Data,Modelo,Produto,Loja,Preco_USD,Preco_BRL,Codigo,Link_Produto,Link_Loja
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB A3525 VC/A Esim Deep Blue,Best Shop Paraguai,1330.0,6929.3,148443,https://www.comprasparaguai.com.br/iphone-17-pro-max-256gb-a3525-vca-esim-deep-blue__5047079/,http://www.bestshop.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB A3525 Ah/A Esim Deep Blue,Best Shop Paraguai,1330.0,6929.3,170284,https://www.comprasparaguai.com.br/iphone-17-pro-max-256gb-a3525-aha-esim-deep-blue__5591014/,http://www.bestshop.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,"Celular Apple iPhone 17 Pro Max A3526 Be 256GB 12GB Ram Tela 6.9"" 48MP - Laranja",Super Games,1350.0,7033.5,348607,https://www.comprasparaguai.com.br/celular-apple-iphone-17-pro-max-a3526-be-256gb-12gb-ram-tela-69-48mp-laranja__5349877/,http://www.supergames.com.py/br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB A3525 4J/A Esim Cosmic Orange,Best Shop Paraguai,1330.0,6929.3,149358,https://www.comprasparaguai.com.br/iphone-17-pro-max-256gb-a3525-4ja-esim-cosmic-orange__5058819/,http://www.bestshop.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB A3257 LL/A Esim Silver,Best Shop Paraguai,1330.0,6929.3,147538,https://www.comprasparaguai.com.br/iphone-17-pro-max-256gb-a3257-lla-esim-silver__5019782/,http://www.bestshop.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB A3257 LL/A Esim Deep Blue,Best Shop Paraguai,1330.0,6929.3,147545,https://www.comprasparaguai.com.br/iphone-17-pro-max-256gb-a3257-lla-esim-deep-blue__5016814/,http://www.bestshop.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,"Celular Apple iPhone 17 Pro Max A3526 Be 256GB 12GB Ram Tela 6.9"" 48MP - Azul",Super Games,1350.0,7033.5,353779,https://www.comprasparaguai.com.br/celular-apple-iphone-17-pro-max-a3526-be-256gb-12gb-ram-tela-69-48mp-azul__5349876/,http://www.supergames.com.py/br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB A3525 VC/A Esim Cosmic Orange,Best Shop Paraguai,1330.0,6929.3,148788,https://www.comprasparaguai.com.br/iphone-17-pro-max-256gb-a3525-vca-esim-cosmic-orange__5046287/,http://www.bestshop.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB JP - Silver,Xcell,1330.0,6929.3,34016,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-jp-silver__5371251/,https://xcell.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Cel Apple iPhone 17 Pro Max 256GB Silver MFXG4LL/A,ASM Group,1350.0,7033.5,5576,https://www.comprasparaguai.com.br/cel-apple-iphone-17-pro-max-256gb-silver-mfxg4lla__5199129/,https://asmgroup.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Cel iPhone 17 Pro Max 512GB Silver New Usa,Cell World,1610.0,8388.1,60529631,https://www.comprasparaguai.com.br/cel-iphone-17-pro-max-512gb-silver-new-usa__5225055/,https://www.cellworldimport.com/
